,Date,Open,High,Low,Price,Volume
358,2017-04-17,1474.85,1494.0,1474.85,1477.95,43711
359,2017-04-18,1478.85,1491.85,1475.0,1480.0,176117
360,2017-04-19,1489.75,1492.75,1470.75,1490.0,104538
361,2017-04-20,1489.9,1531.0,1488.75,1516.95,195653
362,2017-04-21,1525.0,1526.7,1491.95,1505.25,60280
363,2017-04-24,1508.55,1538.0,1508.55,1530.95,54774
364,2017-04-25,1533.3,1556.0,1533.0,1548.4,121371
365,2017-04-26,1552.0,1589.85,1552.0,1585.0,244122
366,2017-04-27,1585.0,1589.4,1560.0,1567.35,71369
367,2017-04-28,1567.4,1567.4,1532.95,1537.05,2640142
368,2017-05-02,1543.15,1587.0,1543.15,1582.95,935568
369,2017-05-03,1589.0,1589.0,1561.0,1561.2,448290
370,2017-05-04,1573.0,1586.0,1555.35,1564.4,219460
371,2017-05-05,1570.0,1570.0,1540.4,1546.5,132665
372,2017-05-08,1545.9,1549.5,1525.0,1529.8,52527
373,2017-05-09,1532.6,1542.65,1518.5,1523.3,51663
374,2017-05-10,1530.95,1575.0,1528.55,1572.8,74108
375,2017-05-11,1572.8,1580.0,1555.15,1561.7,336193
376,2017-05-12,1561.7,1562.4,1540.1,1546.7,28485
377,2017-05-15,1550.0,1570.0,1550.0,1555.95,20306
378,2017-05-16,1557.85,1569.5,1553.3,1566.65,37760
379,2017-05-17,1562.1,1569.75,1550.0,1550.1,182617
380,2017-05-18,1544.6,1559.1,1530.1,1545.0,88700
381,2017-05-19,1542.0,1542.55,1516.55,1521.3,107489
382,2017-05-22,1525.8,1526.7,1510.25,1515.2,59168
383,2017-05-23,1524.5,1535.65,1504.45,1510.7,514804
384,2017-05-24,1514.35,1541.4,1513.9,1524.9,62109
385,2017-05-25,1536.0,1544.45,1535.0,1538.95,63006
386,2017-05-26,1550.0,1562.75,1531.55,1545.5,124333
387,2017-05-29,1545.0,1601.6,1545.0,1598.8,1398491
388,2017-05-30,1598.0,1605.0,1575.45,1580.0,65766
389,2017-05-31,1591.6,1595.0,1565.7,1570.15,93243
390,2017-06-01,1560.0,1586.75,1559.3,1582.6,103568
391,2017-06-02,1589.0,1612.0,1588.8,1610.1,352827
392,2017-06-05,1605.9,1611.6,1591.9,1600.0,156761
393,2017-06-06,1609.0,1624.9,1600.05,1600.05,205914
394,2017-06-07,1612.1,1612.1,1591.05,1604.4,100763
395,2017-06-08,1605.95,1635.4,1605.95,1634.05,247312
396,2017-06-09,1630.8,1649.0,1620.9,1644.85,94044
397,2017-06-12,1644.0,1650.5,1634.25,1642.0,78390
398,2017-06-13,1647.05,1680.5,1645.8,1668.45,171294
399,2017-06-14,1667.0,1667.0,1644.75,1646.95,218903
400,2017-06-15,1649.45,1652.95,1630.0,1638.0,35838
401,2017-06-16,1637.8,1650.2,1629.55,1642.95,2046033
402,2017-06-19,1654.55,1659.0,1645.6,1653.7,69278
